study_id,cohort,year,country,actual_n,timepoint,timepoint_sd,group,variable,mean_pre,sd_pre,timepoint_pre,timepoint_distance,mean,sd,change,change_sd,ri,yi,vi,yi_d,vi_d,sei_d
Ulstein_2017,Rotterud_2012,2017,Norway,73,76.5,17,Group 1,BMI,25.4,3.5,25.2,51.3,25.3,3.5,NA,NA,0.9,-0.003944778291016229,5.2230330753753385e-5,-7.68962629827725e-5,1.9846688156186098e-8,1.4087827425187353e-4
Frobell_2010,KANON,2010,Sweeden,121,24,NA,combined,BMI,NA,NA,NA,NA,24.1,2.9,NA,NA,0.9,NA,NA,NA,NA,NA
KANON_2015,KANON,2015,Sweeden,117,60,NA,combined,BMI,24.1,2.9,24,36,25.5,3.6,NA,NA,0.9,0.056466611667771165,3.275300885266779e-5,0.0015685169907714213,2.527238337397206e-8,1.5897290138250624e-4
Lohmander_2023,KANON,2023,Sweeden,107,132,(128 to 136) 95%C.I,combined,BMI,25.5,3.6,60,72,25.3,3.9,NA,NA,0.9,-0.007874056430905883,4.22504089873567e-5,-1.0936189487369282e-4,8.150156054659857e-9,9.02782147290245e-5
Michaud_2024,Culvenor_2015,2024,Australia,75,13,1,Group 1,BMI,NA,NA,NA,NA,25.8,3.8,NA,NA,0.9,NA,NA,NA,NA,NA
Michaud_2024,Culvenor_2015,2024,Australia,73,60,NA,Group 1,BMI,25.8,3.8,13,47,26.2,3.6,NA,NA,0.9,0.015384918839479456,5.6784047641069845e-5,3.2733869871232887e-4,2.570577077459024e-8,1.6033019295999814e-4
Girdwood_2024,Culvenor_2015,2024,Australia,45,138,4.8,Group 1,BMI,26.2,3.6,60,78,27.43,4.54,NA,NA,0.9,0.04587789418246082,1.1863258319685195e-4,5.881781305443694e-4,1.9499109664176847e-8,1.3963921248767068e-4
Spindler_2018,MOON,2018,USA,1557,0,NA,Group 1,BMI,NA,NA,NA,NA,25.166666666666668,4.229375256411373,NA,NA,0.9,NA,NA,NA,NA,NA
Spindler_2018,MOON,2018,USA,1355,24,NA,Group 1,BMI,25.166666666666668,4.229375256411373,0,24,25.26666666666667,4.0815459728189385,NA,NA,0.9,0.0039656363933471064,4.038320715283362e-6,1.652348497227961e-4,7.010973464033614e-9,8.37315559632903e-5
Spindler_2018,MOON,2018,USA,1368,72,NA,Group 1,BMI,25.26666666666667,4.0815459728189385,24,48,25.833333333333332,4.229922565066493,NA,NA,0.9,0.02217964371097516,3.87052467213924e-6,4.620759106453158e-4,1.6799152222826561e-9,4.098676886853434e-5
Pederson_2021,Delaware-oslo,2021,USA/Norway,262,0,NA,combined,BMI,NA,NA,NA,NA,24.5,3.9,NA,NA,0.9,NA,NA,NA,NA,NA
Arhos_2022,Delaware-oslo,2022,USA/Norway,204,66,6,combined,BMI,24.5,3.9,0,66,25.4,4,NA,NA,0.9,0.03607605647380959,2.4590982534898094e-5,5.466069162698423e-4,5.645312794972014e-9,7.513529659868266e-5
Urhausen_2024,Delaware-oslo,2024,USA/Norway,163,130.8,9.6,combined,BMI,25.4,4,66,64.80000000000001,25.8,4,NA,NA,0.9,0.015625317903081033,2.999430511383311e-5,2.4113144912162084e-4,7.1431339339070584e-9,8.451706297492275e-5
Le_2023,Whittaker_2025,2023,Canada,60,0,NA,combined,BMI,NA,NA,NA,NA,24.1,4.3,NA,NA,0.9,NA,NA,NA,NA,NA
Le_2023,Whittaker_2025,2023,Canada,54,6,NA,combined,BMI,24.1,4.3,0,6,24.8,4.6,NA,NA,0.9,0.02863181267432708,1.234959087915426e-4,0.004771968779054513,3.4304419108761836e-6,0.0018521452186251984
